plate_width_mm,upper_plate_height_mm,lower_plate_slant_mm,thickness_mm,mass_kg,mode1_hz,mode2_hz,mode3_hz,safe
40,88,90,8,0.00071,1735.89,2892.13,4096.78,1
40,88,90,10,0.000887,2068.37,3300.51,4272.64,1
40,88,90,12,0.001064,2445.04,3668.14,4311.87,1
40,88,90,14,0.001242,2730.75,4021.45,4470.21,1
40,88,100,6,0.000587,1216.29,2201.9,3358.73,1
40,88,100,8,0.000783,1342.08,2333.56,3416.77,1
40,88,100,10,0.000979,1670.48,2772.43,3454.48,1
40,88,100,12,0.001175,1893.55,3069.81,3591.76,1
40,88,100,14,0.001371,2204.34,3432.16,3687.34,1
40,100,60,6,0.000423,3217.98,4999.5,8072.31,1
40,100,60,8,0.000564,4357.69,5772.01,8571.47,1
40,100,60,10,0.000705,4962.45,6729.69,8621.69,1
40,100,60,12,0.000846,5995.07,7607.38,9060.82,1
40,100,60,14,0.000987,6922.0,8905.62,9564.95,1
40,100,70,6,0.000466,2458.95,3982.49,6304.12,1
40,100,70,8,0.000621,2891.8,4511.24,6467.93,1
40,100,70,10,0.000777,3485.19,5059.04,6571.54,1
40,100,70,12,0.000932,4323.37,5899.89,6913.05,1
40,100,70,14,0.001087,4791.87,6470.18,7124.35,1
40,100,80,6,0.000513,1775.86,3049.61,4958.12,1
40,100,80,8,0.000684,2341.6,3640.61,5119.42,1
40,100,80,10,0.000855,2675.98,4253.55,5351.28,1
40,100,80,12,0.001026,3170.43,4473.98,5405.12,1
40,100,80,14,0.001197,3670.68,5055.7,5622.5,1
40,100,90,6,0.000564,1562.52,2636.26,4062.85,1
40,100,90,8,0.000752,1758.22,2926.74,4111.31,1
40,100,90,10,0.000939,2055.49,3308.94,4288.41,1
40,100,90,12,0.001127,2436.44,3682.66,4330.44,1
40,100,90,14,0.001315,2729.88,4067.82,4543.12,1
40,100,100,6,0.000619,1180.42,2187.24,3331.25,1
40,100,100,8,0.000825,1333.88,2332.84,3447.27,1
40,100,100,10,0.001031,1651.41,2760.69,3481.51,1
40,100,100,12,0.001237,2053.5,3091.41,3635.07,1
