plate_width_mm,upper_plate_height_mm,lower_plate_slant_mm,thickness_mm,mass_kg,mode1_hz,mode2_hz,mode3_hz,safe
70,75,100,12,0.001321,1834.8,2510.79,4384.13,1
70,75,100,14,0.001539,1985.54,2645.83,4379.29,1
70,88,60,6,0.001539,1985.54,2645.83,4379.29,1
70,88,60,8,0.000617,3851.89,4569.51,8686.36,1
70,88,60,10,0.000768,4478.09,5157.72,9614.77,1
70,88,60,12,0.000919,5313.36,6109.96,9781.67,1
70,88,60,14,0.00107,5729.93,6279.53,9720.86,1
70,88,70,6,0.00107,5729.93,6279.53,9720.86,1
70,88,70,8,0.000691,2784.95,3584.74,7450.32,1
70,88,70,10,0.00086,3354.06,4145.14,7767.54,1
70,88,70,12,0.001028,3843.82,4642.36,7770.28,1
70,88,70,14,0.001196,4294.4,5037.99,7886.96,1
70,88,80,6,0.001196,4294.4,5037.99,7886.96,1
70,88,80,8,0.000771,2187.41,2915.64,6167.28,1
70,88,80,10,0.00096,2487.26,3220.99,6253.74,1
70,88,80,12,0.001147,2859.54,3628.97,6302.22,1
70,88,80,14,0.001334,3221.69,3950.2,6368.7,1
70,88,90,6,0.001334,3221.69,3950.2,6368.7,1
70,88,90,8,0.000856,1707.65,2540.08,5217.32,1
70,88,90,10,0.001066,2024.25,2756.36,5237.11,1
70,88,90,12,0.001274,2293.3,3063.41,5320.4,1
70,88,90,14,0.001481,2524.9,3278.92,5322.6,1
70,88,100,6,0.001481,2524.9,3278.92,5322.6,1
70,88,100,8,0.001481,2524.9,3278.92,5322.6,1
70,88,100,10,0.00118,1633.33,2301.42,4351.23,1
70,88,100,12,0.00141,1872.85,2642.19,4486.46,1
70,88,100,14,0.001639,2205.45,2910.62,4527.47,1
70,100,60,6,0.001639,2205.45,2910.62,4527.47,1
70,100,60,8,0.001639,2205.45,2910.62,4527.47,1
70,100,60,10,0.001639,2205.45,2910.62,4527.47,1
70,100,60,12,0.000991,5297.15,6093.65,9948.13,1
70,100,60,14,0.001154,5927.71,6867.4,10068.94,1
70,100,70,6,0.001154,5927.71,6867.4,10068.94,1
70,100,70,8,0.001154,5927.71,6867.4,10068.94,1
70,100,70,10,0.001154,5927.71,6867.4,10068.94,1
70,100,70,12,0.001102,4084.39,4922.56,7897.5,1
70,100,70,14,0.001283,4372.15,5239.37,7994.55,1
70,100,80,6,0.001283,4372.15,5239.37,7994.55,1
70,100,80,8,0.001283,4372.15,5239.37,7994.55,1
70,100,80,10,0.001283,4372.15,5239.37,7994.55,1
70,100,80,12,0.001283,4372.15,5239.37,7994.55,1
70,100,80,14,0.001422,3423.15,4219.57,6517.69,1
70,100,90,6,0.001422,3423.15,4219.57,6517.69,1
70,100,90,8,0.001422,3423.15,4219.57,6517.69,1
70,100,90,10,0.001422,3423.15,4219.57,6517.69,1
70,100,90,12,0.001422,3423.15,4219.57,6517.69,1
70,100,90,14,0.001571,2738.37,3473.97,5351.87,1
70,100,100,6,0.001571,2738.37,3473.97,5351.87,1
70,100,100,8,0.001571,2738.37,3473.97,5351.87,1
70,100,100,10,0.001571,2738.37,3473.97,5351.87,1
70,100,100,12,0.001571,2738.37,3473.97,5351.87,1
70,100,100,14,0.001729,2108.32,2863.82,4538.56,1
